Date;Plant;X;Y;Z_Tip-105.4cm;Z_Tip-91.5cm
03/05/2021;P2;-3;75,2;57;
03/05/2021;P2;-3;76,8;59;
03/05/2021;P2;-3;78,4;57;
03/05/2021;P2;-3;80;49;
03/05/2021;P2;-3;81,6;48;
03/05/2021;P2;-3;83,2;51;
03/05/2021;P2;-3;84,8;59;
03/05/2021;P2;-3;86,4;82;
03/05/2021;P2;-3;88;90;
03/05/2021;P2;-3;89,6;90;
03/05/2021;P2;-3;91,2;94;
03/05/2021;P2;-3;92,8;99;
03/05/2021;P2;-3;94,4;97;
03/05/2021;P2;-3;96;98;
03/05/2021;P2;-3;97,6;99;
03/05/2021;P2;-3;99,2;98;
03/05/2021;P2;-3;100,8;100;
03/05/2021;P2;-3;102,4;98;
03/05/2021;P2;6;1,6;164;
03/05/2021;P2;6;3,2;162;
03/05/2021;P2;6;4,8;166;
03/05/2021;P2;6;6,4;164;
03/05/2021;P2;6;8;155;
03/05/2021;P2;6;9,6;154;
03/05/2021;P2;6;11,2;145;
03/05/2021;P2;6;12,8;137;
03/05/2021;P2;6;14,4;139;
03/05/2021;P2;6;16;131;
03/05/2021;P2;6;17,6;133;
03/05/2021;P2;6;19,2;132;
03/05/2021;P2;6;20,8;130;
03/05/2021;P2;6;22,4;132;
03/05/2021;P2;6;24;131;
03/05/2021;P2;6;25,6;130;
03/05/2021;P2;6;27,2;133;
03/05/2021;P2;6;28,8;125;
03/05/2021;P2;6;30,4;111;
03/05/2021;P2;6;32;100;
03/05/2021;P2;6;33,6;81;
03/05/2021;P2;6;35,2;65;
03/05/2021;P2;6;36,8;61;
03/05/2021;P2;6;38,4;57;
03/05/2021;P2;6;40;58;
03/05/2021;P2;6;41,6;61;
03/05/2021;P2;6;43,2;66;
03/05/2021;P2;6;44,8;74;
03/05/2021;P2;6;46,4;78;
03/05/2021;P2;6;48;79;
03/05/2021;P2;6;49,6;78;
03/05/2021;P2;6;51,2;76;
03/05/2021;P2;6;52,8;73;
03/05/2021;P2;6;54,4;74;
03/05/2021;P2;6;56;63;
03/05/2021;P2;6;57,6;54;
03/05/2021;P2;6;59,2;58;
03/05/2021;P2;6;60,8;64;
03/05/2021;P2;6;62,4;59;
03/05/2021;P2;6;64;62;
03/05/2021;P2;6;65,6;60;
03/05/2021;P2;6;67,2;60;
03/05/2021;P2;6;68,8;58;
03/05/2021;P2;6;70,4;59;
03/05/2021;P2;6;72;59;
03/05/2021;P2;6;73,6;57;
03/05/2021;P2;6;75,2;59;
03/05/2021;P2;6;76,8;61;
03/05/2021;P2;6;78,4;59;
03/05/2021;P2;6;80;60;
03/05/2021;P2;6;81,6;61;
03/05/2021;P2;6;83,2;61;
03/05/2021;P2;6;84,8;63;
03/05/2021;P2;6;86,4;64;
03/05/2021;P2;6;88;63;
03/05/2021;P2;6;89,6;66;
03/05/2021;P2;6;91,2;65;
03/05/2021;P2;6;92,8;67;
03/05/2021;P2;6;94,4;69;
03/05/2021;P2;6;96;73;
03/05/2021;P2;6;97,6;88;
03/05/2021;P2;6;99,2;107;
03/05/2021;P2;6;100,8;107;
03/05/2021;P2;6;102,4;110;
03/05/2021;P2;11;1,6;154;
03/05/2021;P2;11;3,2;158;
03/05/2021;P2;11;4,8;158;
03/05/2021;P2;11;6,4;151;
03/05/2021;P2;11;8;151;
03/05/2021;P2;11;9,6;143;
03/05/2021;P2;11;11,2;138;
03/05/2021;P2;11;12,8;141;
03/05/2021;P2;11;14,4;140;
03/05/2021;P2;11;16;138;
03/05/2021;P2;11;17,6;142;
03/05/2021;P2;11;19,2;137;
03/05/2021;P2;11;20,8;140;
03/05/2021;P2;11;22,4;141;
03/05/2021;P2;11;24;139;
03/05/2021;P2;11;25,6;140;
03/05/2021;P2;11;27,2;132;
03/05/2021;P2;11;28,8;126;
03/05/2021;P2;11;30,4;122;
03/05/2021;P2;11;32;112;
03/05/2021;P2;11;33,6;106;
03/05/2021;P2;11;35,2;101;
03/05/2021;P2;11;36,8;93;
03/05/2021;P2;11;38,4;87;
03/05/2021;P2;11;40;84;
03/05/2021;P2;11;41,6;75;
03/05/2021;P2;11;43,2;73;
03/05/2021;P2;11;44,8;71;
03/05/2021;P2;11;46,4;68;
03/05/2021;P2;11;48;74;
03/05/2021;P2;11;49,6;68;
03/05/2021;P2;11;51,2;63;
03/05/2021;P2;11;52,8;67;
03/05/2021;P2;11;54,4;67;
03/05/2021;P2;11;56;62;
03/05/2021;P2;11;57,6;67;
03/05/2021;P2;11;59,2;77;
03/05/2021;P2;11;60,8;96;
03/05/2021;P2;11;62,4;99;
03/05/2021;P2;11;64;96;
03/05/2021;P2;11;65,6;80;
03/05/2021;P2;11;67,2;80;
03/05/2021;P2;11;68,8;82;
03/05/2021;P2;11;70,4;94;
03/05/2021;P2;11;72;92;
03/05/2021;P2;11;73,6;85;
03/05/2021;P2;11;75,2;77;
03/05/2021;P2;11;76,8;78;
03/05/2021;P2;11;78,4;78;
03/05/2021;P2;11;80;79;
03/05/2021;P2;11;81,6;85;
03/05/2021;P2;11;83,2;89;
03/05/2021;P2;11;84,8;89;
03/05/2021;P2;11;86,4;89;
03/05/2021;P2;11;88;93;
03/05/2021;P2;11;89,6;93;
03/05/2021;P2;11;91,2;89;
03/05/2021;P2;11;92,8;91;
03/05/2021;P2;11;94,4;90;
03/05/2021;P2;11;96;91;
03/05/2021;P2;11;97,6;106;
03/05/2021;P2;11;99,2;116;
03/05/2021;P2;11;100,8;122;
03/05/2021;P2;11;102,4;127;
03/05/2021;P2;16;1,6;155;
03/05/2021;P2;16;3,2;160;
